Damage 2.0/Puncture Damage	穿刺伤害
Hysterical Fixation	狂化冲动
Infested Hive	感染巢囊
Swift Deth	瞬杀
Target Cracker	弱点专精
Tainted Mag	腐败弹匣
Tactical Reload	机动装填
Noise Arrow	喧扰之箭
Dual Cestra	锡斯特双枪
Ancient Fusion Core	远古融合核心
Tactical Pump	战术上膛
Vulpine Mask	狡狐诈面
Weapon Augments	武器强化
Thermite Rounds	铝热焊弹
Primed Flow	川流不息Prime
Superior Defenses	卓越防御
Steel Fiber (Sentinel)	金属纤维（守护）
Link Shields	护盾连接
Overview	纵观全局
Steel Charge	钢铁充能
Stand Ground	坚守
Magma Chamber	熔岩弹膛
Rising Skill	飞升技巧
Senser Bar	感应条
Soft Hands	精湛快手
Electromagnetic Shielding	电磁屏障
Sniper Scavenger	狙击枪弹药搜集者
Signal Flare	信号闪光
Seeking Fury	狂暴追猎
Fusion MOA Guardian	熔岩恐鸟守卫
Shocking Touch	电击触点
Shock Absorbers	减震器
Shell Shock	电冲弹壳
Seeker (Mod)	弹头导引
Second Wind	再起
Savagery	野蛮压制
Ruinous Extension	毁灭扩展
Rifle Amp	步枪增幅
Revenge	复仇
Damage 2.0/Shielded	护盾
Resonance	残响共鸣
Rending Turn	撕裂翻转
Drekar Manic Bombard	龙舰轰击狂躁者
Damage 2.0/Toxin Damage	毒素伤害
Recharge Barrier	充能电幕
Quickening	加速
Quick Charge	护盾速充
Purifying Flames	净化烈焰
Pummel	强力猛击
Protect	保护
Primed Shotgun Ammo Mutation	霰弹枪弹药转换Prime
Investigator	侦察
Primed Rifle Ammo Mutation	步枪弹药转换Prime
Heartseeker	觅心猎手
Drone	无人机
Heat Dagger	烈焰短剑
Primed Heavy Trauma	重创Prime
Harpak	哈帕克
Trick Mag	戏法增幅
Piercing Step	穿刺步伐
Parallax Scope	视差瞄具
Watchful Swarm	警惕机群
Operation False Profit	变造利益
No Return	有去无回
Natural Talent	天赋
Damage 2.0/Finishing Damage	终结伤害
Naramon Transmute Core	Naramon转换核心
Escape Velocity	脱离速度
Morphic Transformer	非晶变压器
Molten Impact	熔岩冲击
Hunter's Bonesaw	猎人骨锯
Modified Munitions	弹药改良
Mind Freak	精神狂怒
Metal Auger	合金钻头
Melee Prowess	非凡技巧
Stalking Fan	缠旋风切
Loose Hatch	松弛枪盖
Lock and Load	填弹上膛
Link Armor	护甲连接
Lightning Dash	电光冲刺
Legendary Core	传说核心
Killing Blow	一击必杀
Kinetic Collision	动能碰撞
Iron Shrapnel	碎铁弹片
Iron Phoenix	钢铁凤凰
Intensify	聚精会神
Interception	拦截
Incendiary Coat	燃烧外壳
Hyperion Thrusters	超越推进
Sicarus Prime	暗杀者Prime
Howl	嚎声
Transient Fortitude	瞬时坚毅
Multishot	多重射击
Nitain Extract	泥炭萃取物
Drekar Lancer	龙舰枪兵
Heavy Caliber	重口径
Guardian	守护者
Glacial Edge	冰冷刃缘
Sleight Of Hand	戏法
Ghost	幽灵
Swarm-Mutalist MOA	异融胞群恐鸟
Fortitude	不屈不挠
Flow	川流不息
Heat Damage	火焰伤害
Fast Deflection (Sentinel)	快速充能
Enemy Radar	侦敌雷达
Electrified Barrel	带电枪管
Disruptor	冲击干扰
Homing Fang	连牙追袭
Pox	脓痘
the Grustrag Three	Grustrag三霸
Smite Infusion	惩击洗礼
Continuous Misery	无尽苦难
Constitution	百折不挠
Burdened Magazine	过载弹匣
Blind Shot	盲目射击
Blind Justice	无明制裁
Bleeding Willow	血色万柳
Bite	咬碎
Primed Pistol Gambit	手枪精通Prime
Auxiliary Power	辅助动力
Automatic Trigger	自动扳机
Auger Strike	螺钻打击
Venomous Clip	恶毒弹匣
Apex Predator	顶级掠食者
Overload	超负荷
Air Recon	空中侦查
Accelerated Blast	加速冲击
Relay	中继站
Heavy Gunner	重型机枪手
Rift Strike	裂缝打击
Sense Danger	危机感知
Pounce	猛扑
Mischief	顽皮
FAQ	提问与解答
Void Shade	虚空之影
Crit Chance	暴击机率
acolyte	追随者
Rending Crane	撕裂鹤击
Conculyst	震荡使
Helios	赫利俄斯
Dual Kamas	双短柄战镰
The Grustrag Three	Grustrag三霸
Galvanized Blade	通电刀刃
Warframe Systems Blueprint	战甲系统蓝图
Reinforced Glass	强化玻璃
Widget	改造器
Maiming Strike	致残突击
Tornado	龙卷云风
Propaganda Drone	宣传无人机
Oxium Osprey	奥席金属鱼鹰
Oculyst	全视使
Kavasa Prime Collar	喀婆萨Prime项圈
Manic	狂躁Grineer
Lynx Turret	山猫炮塔
Locust Drone	蝗虫无人机
Dark Sector Reference	黑暗地带相关
Leaper	奔跳者
Arid Lancer	沙漠枪兵
Kubrow (Feral)	库狛（野生）
Juggernaut Behemoth	重装巨兽
Hellion Dargyn	恶徒轻型艇
Dargyn	轻型艇
Vaykor Marelok	勇气玛瑞火枪
Grineer Power Carrier	Grineer能量运送者
Contagion	传染
Shred	撕裂
Fusion MOA	熔岩恐鸟
Bane of Corpus	灭亡Corpus
Dark Sector Survival	黑暗地带生存
Polarity	极性
Captain Vor	Vor上尉
Drekar Butcher	龙舰屠夫
Attack Drone	无人机
Ancient Disruptor	远古干扰者
Vay Molta	行刑者Vay Molta
Bosses	头目
Venus	金星
Saturn	土星
Dark Sectors	黑暗地带
Corpus Ice Planet	Corpus冰原星球
Clan Dojo	氏族道场
Exilus Adapter	劣化功能槽链接器
Huntsman Soma	猎手外观
Warcry	咆哮
Switch Teleport	移形换位
Sonic Boom	超声波
Smoke Screen	烟幕
Roar	战吼
Shadows of the Dead	亡者幽影
Rumblers	漫步石者
Rippling Shockwave	震荡波
Miasma	瘴气
Link	链接
Chesa Kubrow	寻猎型库狛
Magnus	麦格努斯
Blessing	祝福
Absorb	吸收
Overcharge Detectors	溢能感应
Damage 2.0/Electricity Damage	电击伤害
Plasma Sword	等离子长剑
Tonkor	征服榴砲
Tigris	猛虎
Ether Sword	苍穹之剑
Boar	野猪
Sarpa	蛇刃
Prime Laser Rifle	激光步枪Prime
Mutalist Quanta	异融量子枪
Electric Shield	电磁屏障
Hate	憎恨
Polar Magazine	极地弹仓
Galatine	迦伦提恩
Set\t套装
